# Code: cgiSensePlot.c v4.0 (sll - 13 February 2009 Build)
# from WWW Sensitivity Curve Generator located at:
#   http://www.srl.caltech.edu/~shane/sensitivity/MakeCurve.html
# EQUAL ARM Space Based Observatory Sensitivity Curve
# Polarization and All Sky Averaged
# 
# For this data file:
# SNR = 1.000000 
# Armlength = 2.500000e+09 	meters
# Optics diameter = 0.300000 	meters
# Wavelength = 1064.000000 	nanometers
# Laser power = 1.000000 Watts
# Optical train efficiency = 0.300000 
# Accleration noise = 3.000000e-15 m/(s^2 root Hz)
# Position noise = 1.000000e-11 m/(root Hz)
# Sensitivity Floor Set by Laser Shot Noise
# Output Curve type is Root Spectral Density, per root Hz
# Astrophysical Noise is Merged Instrumental + White Dwarf Noise
#
#
#
# f [Hz] 	 hf [Hz^(-1/2)]
7.802239e-01    1.886079e-19
7.860272e-01    1.811056e-19
7.918738e-01    1.659249e-19
7.977639e-01    1.520698e-19
8.036978e-01    1.436296e-19
8.096757e-01    1.416131e-19
8.156981e-01    1.463180e-19
8.217655e-01    1.580129e-19
8.278778e-01    1.759331e-19
8.340357e-01    1.948309e-19
8.402394e-01    2.027171e-19
8.464891e-01    1.929441e-19
8.527854e-01    1.750153e-19
8.591286e-01    1.600387e-19
8.655188e-01    1.522693e-19
8.719566e-01    1.525712e-19
8.784424e-01    1.613149e-19
8.849763e-01    1.785768e-19
8.915589e-01    2.011458e-19
8.981905e-01    2.167270e-19
9.048713e-01    2.112878e-19
9.116018e-01    1.915475e-19
9.183824e-01    1.733229e-19
9.252134e-01    1.636031e-19
9.320953e-01    1.637659e-19
9.390284e-01    1.742590e-19
9.460129e-01    1.949193e-19
9.517622e-01    2.158241e-19
9.575464e-01    2.303880e-19
9.633659e-01    2.279579e-19
9.692205e-01    2.112659e-19
9.751108e-01    1.922887e-19
9.810370e-01    1.786356e-19
9.869991e-01    1.725844e-19
9.929975e-01    1.745806e-19
9.990325e-01    1.849316e-19
1.005104e+00    2.035464e-19
1.011212e+00    2.271854e-19
1.017358e+00    2.446736e-19
1.023541e+00    2.421976e-19
1.029761e+00    2.229547e-19
1.036019e+00    2.019733e-19
1.042316e+00    1.880191e-19
1.048650e+00    1.833560e-19
1.055023e+00    1.884151e-19
1.061435e+00    2.035195e-19
1.067886e+00    2.275250e-19
1.074376e+00    2.523554e-19
1.080905e+00    2.600691e-19
1.087474e+00    2.436260e-19
1.094083e+00    2.191283e-19
1.100732e+00    2.009326e-19
1.107422e+00    1.934078e-19
1.114152e+00    1.972702e-19
1.120923e+00    2.129344e-19
1.127736e+00    2.393406e-19
1.134589e+00    2.670571e-19
1.140419e+00    2.751275e-19
1.146279e+00    2.619592e-19
1.152169e+00    2.389082e-19
1.158089e+00    2.188219e-19
1.164040e+00    2.069991e-19
1.170021e+00    2.045780e-19
1.176033e+00    2.118503e-19
1.182076e+00    2.290394e-19
1.188150e+00    2.546296e-19
1.194255e+00    2.803724e-19
1.200392e+00    2.892801e-19
1.206560e+00    2.737998e-19
1.212760e+00    2.480548e-19
1.218991e+00    2.268695e-19
1.225255e+00    2.156775e-19
1.231550e+00    2.154729e-19
1.237879e+00    2.265988e-19
1.244239e+00    2.490717e-19
